station_id,target_station_index,original_node_index,sample_count,MAE,RMSE,R2
C4,0,11,74424,0.06799541300141336,0.07516072717400749,-0.9948061442726075
CD03,7,14,781,0.06760034279983398,0.0800658855575863,-2.8008507702298133
C3,3,10,37212,0.06236296360263276,0.0755248360450818,-1.377368938929512
MS3513,2,30,54743,0.05438745987702487,0.064607114847239,0.43719683586395175
CD07,11,18,37004,0.05436938009485852,0.06038541694157055,0.5860825503732168
MS3627,10,43,74500,0.054204369635709855,0.06022978842162349,0.2654718943334896
MS3488,1,26,72334,0.051300487657479195,0.061907998013195735,0.2973796899412048
CD01,15,12,49615,0.04644967110904534,0.05632968690241375,0.7422519131694117
MS3603,8,40,74495,0.03922867180498402,0.04448053132267586,0.6079501697149259
C2,5,9,25992,0.0390934081830784,0.044355144915982476,0.7162728475662712
MS3620,9,42,72823,0.03908229257174528,0.0475114812042322,0.28284452168383223
MS3545,12,35,20945,0.03588579858495449,0.04564627140728752,-0.3605212595065437
P8,16,54,16917,0.03505414164441344,0.045588635109611836,-0.29920405008694995
MS3518,14,31,74404,0.033482514266022924,0.03959389951559527,0.8015922838337026
MS3533,13,34,74424,0.02861468631125115,0.037263120427931305,0.8078373300699777
