station_id,original_node_index,target_station_index,valid_count,MAE,RMSE,MAPE,R2
C4,11,0,0,,,,
MS3488,26,1,600,0.043387070298194885,0.04528895765542984,0.14537720382213593,-8.855292918303391
MS3513,30,2,600,0.021137762814760208,0.025132574141025543,0.06886788457632065,-2.8704027246468513
C3,10,3,0,,,,
MS3552,36,4,600,0.026616666465997696,0.02978276088833809,0.08271168172359467,-2.8504321822685723
C2,9,5,0,,,,
BC+,0,6,0,,,,
CD03,14,7,600,0.07504118233919144,0.08463939279317856,0.1904219388961792,-34.214969829092084
MS3603,40,8,600,0.015711316838860512,0.01957140862941742,0.049332257360219955,-0.015588925064140113
MS3620,42,9,600,0.07104102522134781,0.07250655442476273,0.32438308000564575,-13.47824644578253
MS3627,43,10,600,0.03150315210223198,0.03344093635678291,0.12293864041566849,-1.09546467950612
CD07,18,11,0,,,,
MS3545,35,12,600,0.04123136028647423,0.04417859762907028,0.12436279654502869,-5.53305016965466
MS3533,34,13,600,0.07064513862133026,0.0731128677725792,0.19634906947612762,-23.556881523580067
MS3518,31,14,600,0.05764017626643181,0.060245100408792496,0.16349688172340393,-8.134708762932284
CD01,12,15,600,0.23225659132003784,0.23424097895622253,0.4320709705352783,-145.21916335460114
P8,54,16,0,,,,
F1,19,17,0,,,,
