station_id,lon,lat,elevation
BC02,92.36833333333334,31.07333333333333,4835.0
BC04,92.25,31.12833333333333,4609.0
BC05,92.19666666666669,31.171666666666667,4548.0
BC06,92.165,31.231666666666666,4491.0
BC08,92.04,31.331666666666667,4470.0
C1,91.77,31.683333333333334,4647.0
C4,91.84166666666668,31.61833333333333,4608.0
CD01,92.45833333333331,31.71333333333333,4762.0
CD02,92.405,31.683333333333334,4612.0
CD07,92.13333333333334,31.495,4628.0
F4,91.77333333333333,31.69833333333333,4737.0
MS3475,91.72166666666666,31.946666666666665,4637.0
MS3482,91.7,31.89,4713.0
MS3488,91.705,31.843333333333334,4799.0
MS3494,91.75,31.805,4818.0
MS3501,91.78333333333332,31.75333333333333,4723.0
MS3513,91.84166666666668,31.67833333333333,4628.0
MS3518,91.795,31.661666666666665,4574.0
MS3523,91.755,31.64,4570.0
MS3533,91.79333333333334,31.586666666666662,4539.0
MS3576,91.97,31.41,4517.0
MS3603,91.8,31.258333333333333,4630.0
MS3614,91.76,31.175,4633.0
MS3627,91.68833333333332,31.08833333333333,4736.0
MSBJ,91.89,31.366666666666667,4505.0
P11,91.795,31.816666666666663,4953.0
P2,91.725,31.74333333333333,4677.0
